 Complete NA Playstation Plus Master List by u/ABattleVet,986,"PS4 games no longer priority after 2025, starting in 2026 fewer will be added",,,,,,Game Pass,,,,,,PC / Portal,
Game,System,Tier,Status,Added,Removed,Months,Release,Age,Metacritic,User,Completion,Genre,Notes / Original System,Streaming,Local Multiplayer
Hell is Us,PS5,Extra,Coming Soon,08/25/2026,,-0.1,09/04/2025,0.975,77,7.8,21,Action-Adventure,,No,
Umamusume Pretty Derby – Party Dash,PS4,Extra,Coming Soon,08/25/2026,,-0.1,08/30/2024,1.986111111,68,6.7,9,Party,,,
Two Point Museum,PS5,Extra,Coming Soon,08/25/2026,,-0.1,03/04/2025,1.475,84,8.1,47,Tycoon,,No,
Metro Exodus,PS5/PS4,Extra,Coming Soon,08/25/2026,,-0.1,02/15/2019,7.527777778,82,7.4,16,Shooter,,,
Dying Light 2,PS5/PS4,Extra,Coming Soon,08/25/2026,,-0.1,02/04/2022,4.558333333,76,7.2,24,Survival,,,
Kingdom Come: Deliverance II,PS5,Extra,Active,08/18/2026,,0.1333333333,02/04/2025,1.538888889,89,8.7,55,RPG,,No,
Vampire Survivors,PS5/PS4,Extra,Active,08/18/2026,,0.1333333333,10/20/2022,3.827777778,86,8.1,15,Shoot-'Em-Up,,,
Onimusha: Dawn of Dreams,PS5/PS4,Premium (Classics),Active,08/18/2026,,0.1333333333,03/07/2006,20.44722222,81,8.5,20,Action-Adventure,PS2,,
Disney's Atlantis: The Lost Empire,PS5/PS4,Premium (Classics),Active,08/18/2026,,0.1333333333,09/19/2001,24.91388889,73,7.3,6,Platformer,PS1,,
Helldivers 2,PS5,Extra,Active,08/12/2026,,0.3333333333,02/08/2024,2.511111111,82,7.5,32,Shooter,,No,
Mighty Morphin Power Rangers: Rita’s Rewind,PS5/PS4,Extra,Active,07/28/2026,,0.8,12/10/2024,1.633333333,70,5.9,3,Action,,,
Dying Light,PS4,Extra,Active,07/28/2026,,0.8,01/27/2015,11.50277778,74,8.1,17.5,Shooter,,,
Citizen Sleeper 2: Starward Vector,PS5,Extra,Active,07/28/2026,,0.8,01/31/2025,1.494444444,86,8.3,12,RPG,,No,
Snow Bros. Wonderland,PS5,Extra,Active,07/28/2026,,0.8,11/28/2024,1.666666667,84,7.8,4,Action,,No,
Avatar: Frontiers of Pandora,PS5,Extra,Active,07/21/2026,,1.033333333,12/07/2023,2.622222222,72,7.1,21,Action-Adventure,,No,
Firefighting Simulator: Ignite,PS5,Extra,Active,07/21/2026,,1.033333333,09/09/2025,0.8666666667,78,7.6,15,Simulation,,No,
Indigo Prophecy,PS5/PS4,Premium (Classics),Active,07/21/2026,,1.033333333,09/20/2005,20.83611111,85,8.5,9,Action-Adventure,PS2,,
Psi-Ops: The Mindgate Conspiracy,PS5/PS4,Premium (Classics),Active,07/21/2026,,1.033333333,06/14/2004,22.10277778,84,6.9,10,Shooter,PS2,,
Rise of the Ronin,PS5,Extra,Active,07/16/2026,,1.2,03/22/2024,2.316666667,76,7.9,25,RPG,,No,
Final Fantasy XVI,PS5,Extra,Active,06/16/2026,,2.2,06/22/2023,2.983333333,87,8.4,34,RPG,,No,
Sonic X Shadow Generations,PS5/PS4,Extra,Active,06/16/2026,,2.2,10/25/2024,1.641666667,80,8.9,7,Action-Adventure,,,
Kingdom Come: Deliverance,PS5/PS4,Extra,Active,06/16/2026,,2.2,02/13/2018,8.341666667,76,8,41,RPG,,,
Life is Strange: Double Exposure,PS5,Extra,Active,06/16/2026,,2.2,10/29/2024,1.630555556,73,4.7,13,Action-Adventure,,No,
Farming Simulator 25,PS5,Extra,Active,06/16/2026,,2.2,11/12/2024,1.594444444,75,5.3,37,Simulation,,No,
Blades of Fire,PS5,Extra,Active,06/16/2026,,2.2,05/22/2025,1.066666667,79,8.2,19,RPG,,No,
Black Desert,PS5,Extra,Active,06/16/2026,,2.2,03/04/2019,7.283333333,75,6.2,34,RPG,,No,
Gitaroo Man,PS5/PS4,Premium (Classics),Active,06/16/2026,,2.2,06/24/2002,23.97777778,91,8.8,4,Rhythm,PS2,,
Destiny 2: Legacy Collection (2025),PS5/PS4,Extra,Active,06/09/2026,,2.433333333,07/15/2025,0.9,79,5.6,43,Shooter,"The Final Shape, Lightfall, The Witch Queen, Beyond Light, and Shadowkeep",,
Star Wars Outlaws,PS5,Extra,Active,05/19/2026,,3.1,08/27/2024,1.727777778,75,5.6,18.5,Action-Adventure,,No,
Red Dead Redemption 2,PS4,Extra,Active,05/19/2026,,3.1,10/26/2018,7.563888889,97,9,50.5,Action-Adventure,,,
Bramble: The Mountain King,PS5/PS4,Extra,Active,05/19/2026,,3.1,04/27/2023,3.061111111,80,7.8,4,Action-Adventure,,,
The Thaumaturge,PS5,Extra,Active,05/19/2026,,3.1,03/04/2024,2.208333333,74,7.1,21,RPG,,No,
Flintlock: The Siege of Dawn,PS5,Extra,Active,05/19/2026,,3.1,07/17/2024,1.838888889,71,5.8,10,RPG,,No,
Broken Sword – Shadows of the Templar: Reforged,PS5/PS4,Extra,Active,05/19/2026,,3.1,09/19/2024,1.666666667,84,8.8,10,Point-and-Click,,,
Enotria: The Last Song Standard Edition,PS5,Extra,Active,05/19/2026,,3.1,09/16/2024,1.675,69,6.1,29,RPG,,,
Time Crisis,PS5/PS4,Premium (Classics),Active,05/19/2026,,3.1,10/01/1995,30.63333333,70,7.5,1,Shooter,PS1,No,
The Crew: Motorfest,PS5/PS4,Extra,Active,04/21/2026,,4.033333333,09/14/2023,2.602777778,74,6.3,20,Racing,,,
Horizon Zero Dawn: Remastered,PS5/PS4,Extra,Active,04/21/2026,,4.033333333,10/31/2024,1.475,85,7.2,23,Action-Adventure,"Remastered for PS5, Complete for PS4",,
Football Manager 26,PS5,Extra,Active,04/21/2026,,4.033333333,11/04/2025,0.4638888889,68,2.8,87,Simulation,,No,
Warriors: Abyss,PS5/PS4,Extra,Active,04/21/2026,,4.033333333,02/12/2025,1.191666667,68,7.6,6,Action,,,
Squirrel with a Gun,PS5,Extra,Active,04/21/2026,,4.033333333,08/29/2024,1.644444444,63,6.4,6,Shooter,,No,
The Casting of Frank Stone,PS5,Extra,Active,04/21/2026,,4.033333333,09/03/2024,1.633333333,71,6.7,7,Action-Adventure,,No,
Monster Train,PS5,Extra,Active,04/21/2026,,4.033333333,05/21/2020,5.916666667,86,7.8,12,Strategy,,No,
Wild Arms 4,PS5/PS4,Premium (Classics),Active,04/21/2026,,4.033333333,11/15/2005,20.43333333,70,7.7,33,RPG,PS2,,
"Warhammer 40,000: Space Marine II",PS5,Extra,Active,03/17/2026,,5.166666667,09/05/2024,1.533333333,82,8,9,Shooter,,No,
Persona 5 Royal,PS5/PS4,Extra,Active,03/17/2026,,5.166666667,03/31/2020,5.963888889,95,8.7,103,RPG,"Royal for PS5, Ultimate Edition for PS4",,
Blasphemous 2,PS5/PS4,Extra,Active,03/17/2026,,5.166666667,08/24/2023,2.563888889,87,8.6,15,Action-Adventure,,,
Metal Eden,PS5,Extra,Active,03/17/2026,,5.166666667,05/06/2025,0.8638888889,73,7.4,6,Shooter,,No,
Lord of the Rings: Return to Moria,PS5,Extra,Active,03/17/2026,,5.166666667,10/24/2023,2.397222222,74,6.7,25,Action-Adventure,,No,
Astroneer,PS5/PS4,Extra,Active,03/17/2026,,5.166666667,02/06/2019,7.113888889,75,7,18,Adventure,,,
Tekken: Dark Resurrection,PS5/PS4,Premium (Classics),Active,03/17/2026,,5.166666667,07/25/2006,19.64444444,88,8.5,2,Fighting,,,
Marvel’s Spider-Man 2,PS5,Extra,Active,02/17/2026,,6.166666667,10/20/2023,2.325,90,8.7,17,Action-Adventure,,No,
Test Drive Unlimited: Solar Crown,PS5,Extra,Active,02/17/2026,,6.166666667,09/12/2024,1.430555556,53,4,27,Racing,,No,
Neva,PS5/PS4,Extra,Active,02/17/2026,,6.166666667,10/15/2024,1.338888889,87,8.3,4,Action-Adventure,,,
Season: A Letter to the Future,PS5/PS4,Extra,Active,02/17/2026,,6.166666667,01/31/2023,3.047222222,84,8.3,10,Action-Adventure,,,
Monster Hunter Stories 2: Wings of Ruin,PS4,Extra,Active,02/17/2026,,6.166666667,07/09/2021,4.605555556,81,8.6,41,RPG,,,
Monster Hunter Stories,PS4,Extra,Active,02/17/2026,,6.166666667,09/08/2017,8.441666667,79,7.9,35,RPG,,,
Venba,PS5,Extra,Active,02/17/2026,,6.166666667,07/31/2023,2.547222222,81,7.7,2,Adventure,,No,
Echoes of the End: Enhanced Edition,PS5,Extra,Active,02/17/2026,,6.166666667,08/12/2025,0.5138888889,66,6.9,11,Action-Adventure,,No,
Rugby 25,PS5/PS4,Extra,Active,02/17/2026,,6.166666667,02/13/2025,1.011111111,90,7.4,16,Sports,,,
