game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
The Outer Worlds 2,2025-10-01,2025-10-01,,,Xbox Game Studios,Obsidian Entertainment,Xbox / PC
Evil West,2022-11-01,2025-10-01,,73,"Focus Home Interactive, Focus Entertainment",Flying Wild Hog,Xbox / PC
Ninja Gaiden 4,2025-10-01,2025-10-01,,,Xbox Game Studios,"Platinum Games, Koei Tecmo, Team NINJA",Xbox / PC
Keeper,2025-10-01,2025-10-01,,,,Terrarium,Xbox / PC
Pax Dei,2025-10-01,2025-10-01,,,"Mainframe Industries, New Tales",Mainframe Industries,PC
Ball x Pit,2025-10-01,2025-10-01,,,Devolver Digital,Kenny Sun,Xbox / PC
The Grinch: Christmas Adventures,2023-10-01,2025-10-01,,68,Outright Games,Casual Brothers,Xbox / PC
The Casting of Frank Stone,2024-09-01,2025-10-01,,68,Behaviour Interactive,Supermassive Games,Xbox / PC
Baldur's Gate and Baldur's Gate II: Enhanced Editions,2019-10-01,2025-10-01,,72,Skybound Games,Beamdog,PC
Little Rocket Lab,2025-10-01,2025-10-01,,83,No More Robots,Teenage Astronauts,Xbox / PC
Supermarket Simulator,2025-06-01,2025-10-01,,,Nokta Games,Nokta Games,Xbox / PC
Sopa: Tale of the Stolen Potato,2025-10-01,2025-10-01,,79,StudioBando,StudioBando,Xbox / PC
Hogwarts Legacy,2023-02-01,2025-10-01,,84,"Warner Bros. Interactive, Wizarding World","Avalanche Software, Portkey Games",Xbox / PC
Assassin's Creed II,2009-11-01,2025-10-01,,90,Ubisoft Entertainment,Ubisoft Montreal,PC
Assassin's Creed III: Remastered,2019-03-01,2025-10-01,,72,Ubisoft Entertainment,Ubisoft Montreal,Xbox / PC
Assassin's Creed IV Black Flag,2013-10-01,2025-10-01,,88,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Bucharest",Xbox / PC
Assassin's Creed IV Black Flag: Freedom Cry,2013-12-01,2025-10-01,,71,Ubisoft Entertainment,Ubisoft Montreal,PC
Assassin's Creed Brotherhood,2010-11-01,2025-10-01,,89,Ubisoft Entertainment,Ubisoft Montreal,PC
Assassin's Creed Chronicles: China,2015-04-01,2025-10-01,,69,Ubisoft Entertainment,"Ubisoft, Climax Studios",Xbox / PC
