metacritic_filled,has_metacritic,release_year,release_month,num_publishers,num_developers,games_count,avg_days_to_epic,publisher_speed_score,primary_publisher,timing_category,publisher_encoded,target_encoded
82.8,0,2022,3,2,1,9,1506.0,0.24236387782204513,2K Games,More than 12 months,1,1
88.0,1,2010,7,3,3,10,2989.5,0.12209399565144673,Microsoft Studios,As Good as Never,127,0
79.0,1,2022,2,3,1,2,1128.0,0.3235815602836879,Microids,More than 12 months,126,1
69.0,0,2021,7,1,2,5,1159.6,0.3147637116246982,Headup Games,More than 12 months,91,1
81.0,0,2021,10,1,1,3,2882.33,0.12663366096179132,Amanita Design,More than 12 months,13,1
75.0,1,2023,4,1,1,12,1971.5,0.18513821962972357,Deep Silver,More than 12 months,48,1
80.0,1,2022,4,3,1,10,2989.5,0.12209399565144673,Microsoft Studios,More than 12 months,127,1
77.7032967032967,0,2023,8,1,1,1,636.0,0.5738993710691824,GrahamOfLegend,More than 12 months,87,1
80.0,1,2018,3,1,1,3,2882.33,0.12663366096179132,Amanita Design,As Good as Never,13,0
77.7032967032967,0,2017,5,1,1,1,2894.0,0.12612301313061505,Cabbibo,As Good as Never,37,0
77.7032967032967,0,2013,8,2,1,2,4098.5,0.08905697206294987,Sekai Project,As Good as Never,179,0
82.0,1,2012,4,1,1,3,2882.33,0.12663366096179132,Amanita Design,As Good as Never,13,0
77.7032967032967,0,2019,9,4,1,1,2045.0,0.17848410757946212,Arc System Works,As Good as Never,18,0
77.7032967032967,0,2017,9,1,1,4,2171.75,0.1680672268907563,Codename Entertainment,As Good as Never,42,0
75.29,0,1999,1,3,1,20,1636.6,0.22302334107295615,Team17 Digital,As Good as Never,206,0
77.0,1,2019,9,2,2,4,2206.25,0.16543909348441926,PQube,As Good as Never,151,0
77.7032967032967,0,2019,10,1,1,1,1994.0,0.18304914744232698,Burgos Games,As Good as Never,34,0
77.0,1,2017,8,2,3,4,2206.25,0.16543909348441926,PQube,As Good as Never,151,0
75.5,0,2021,11,1,1,4,1105.75,0.33009269726430024,Frontier Developments,More than 12 months,74,1
82.0,1,2019,4,0,1,15,1055.47,0.34581750310288306,Unknown,As Good as Never,230,0
75.0,1,2020,8,1,2,2,1265.0,0.2885375494071146,PlayStack,More than 12 months,157,1
82.0,1,2020,4,2,1,4,1498.25,0.24361755381278158,Humble Bundle,More than 12 months,95,1
75.0,1,2017,5,1,1,2,2264.0,0.16121908127208479,Borealys Games,As Good as Never,33,0
70.5,0,2021,9,1,1,7,569.86,0.640508194995262,Saber Interactive,More than 12 months,176,1
77.7032967032967,0,2021,8,1,1,1,1289.0,0.2831652443754849,Picogram,More than 12 months,156,1
75.5,0,2024,7,1,1,4,1105.75,0.33009269726430024,Frontier Developments,Next 12 months,74,2
78.29,0,2021,10,1,1,9,2235.33,0.16328685250052566,Electronic Arts,More than 12 months,59,1
72.0,1,2020,6,1,1,4,2094.0,0.17430754536771728,E-Line Media,More than 12 months,57,1
77.7032967032967,0,2021,10,1,1,1,1199.0,0.3044203502919099,Vanimals,More than 12 months,234,1
77.7032967032967,0,2021,8,2,2,5,714.0,0.511204481792717,Akupara Games,More than 12 months,10,1
69.0,0,2022,7,2,1,5,510.2,0.715405723245786,Skybound Games,More than 12 months,183,1
73.0,1,2016,6,5,3,2,2815.5,0.12963949564908542,Plug In Digital,As Good as Never,160,0
77.0,1,2019,6,1,1,20,1636.6,0.22302334107295615,Team17 Digital,As Good as Never,206,0
71.0,1,2018,2,1,2,2,1622.0,0.2250308261405672,Warhorse Studios,As Good as Never,240,0
79.0,1,2022,2,3,1,2,1128.0,0.3235815602836879,Microids,More than 12 months,126,1
76.0,0,2021,3,0,1,15,1055.47,0.34581750310288306,Unknown,More than 12 months,230,1
77.7032967032967,0,2020,7,1,1,2,1509.5,0.24180192116594898,Robot Entertainment,More than 12 months,170,1
74.0,1,2021,9,1,1,2,1726.5,0.2114103677961193,Milestone,More than 12 months,131,1
83.11,0,2023,10,1,1,10,1408.7,0.25910413856747355,505 Games,Next 12 months,3,2
84.0,1,2019,8,1,2,10,1408.7,0.25910413856747355,505 Games,As Good as Never,3,0
75.29,0,2023,3,1,1,20,1636.6,0.22302334107295615,Team17 Digital,More than 12 months,206,1
77.7032967032967,0,2019,5,1,1,1,2049.0,0.17813567593948268,Auroch Digital,As Good as Never,25,0
77.0,1,2018,5,2,2,4,1498.25,0.24361755381278158,Humble Bundle,As Good as Never,95,0
77.7032967032967,0,2015,2,2,1,1,3606.0,0.1012201885745979,Payload Studios,As Good as Never,154,0
77.7032967032967,0,2023,9,1,1,5,714.0,0.511204481792717,Akupara Games,Next 12 months,10,2
77.7032967032967,0,2022,10,1,1,1,791.0,0.4614412136536031,poncle,More than 12 months,250,1
77.7032967032967,0,2023,10,1,1,1,415.0,0.8795180722891566,North Beach Games,Next 12 months,147,2
80.0,1,2022,4,3,1,10,2989.5,0.12209399565144673,Microsoft Studios,More than 12 months,127,1
74.0,0,2021,9,1,1,3,1748.67,0.20873006341962747,Astragon Entertainment,More than 12 months,23,1
77.7032967032967,0,2022,9,1,1,1,793.0,0.46027742749054223,Blobfish,More than 12 months,31,1
75.0,1,2016,11,4,2,1,2935.0,0.12436115843270867,Alawar Entertainment,As Good as Never,11,0
76.0,0,2023,12,0,1,15,1055.47,0.34581750310288306,Unknown,Next 12 months,230,2
78.0,1,2019,5,1,1,3,1424.33,0.2562608384292966,Konami,As Good as Never,112,0
77.7032967032967,0,2023,3,1,1,1,597.0,0.6113902847571189,Sweet Bandits Studios,More than 12 months,198,1
80.0,1,2019,2,1,1,9,2235.33,0.16328685250052566,Electronic Arts,As Good as Never,59,0
78.0,1,2022,3,1,1,19,3934.05,0.0927797053926615,Bethesda Softworks,More than 12 months,29,1
78.5,0,2017,5,2,1,13,1162.0,0.31411359724612736,Daedalic Entertainment,As Good as Never,46,0
77.0,1,2020,4,1,2,20,1636.6,0.22302334107295615,Team17 Digital,More than 12 months,206,1
77.7032967032967,0,2022,2,1,3,5,714.0,0.511204481792717,Akupara Games,More than 12 months,10,1
69.0,0,2023,11,1,1,5,510.2,0.715405723245786,Skybound Games,Next 12 months,183,2
77.7032967032967,0,2023,7,1,1,1,450.0,0.8111111111111111,GBROSSOFT,Next 12 months,78,2
77.7032967032967,0,2015,8,1,1,1,3354.0,0.10882528324388789,Eleon Game Studios,As Good as Never,60,0
72.0,1,2022,7,1,1,3,703.67,0.5187090539599528,Armor Games Studios,More than 12 months,20,1
72.0,0,2022,9,1,1,3,703.67,0.5187090539599528,Armor Games Studios,More than 12 months,20,1
77.7032967032967,0,2021,11,2,1,1,1038.0,0.3516377649325626,Armor Games,More than 12 months,19,1
79.0,1,2021,9,1,1,1,1099.0,0.3321201091901729,Something We Made,More than 12 months,188,1
78.0,0,2023,11,1,1,3,1424.33,0.2562608384292966,Konami,Next 12 months,112,2
77.7032967032967,0,2024,9,1,2,1,2.0,182.5,The MIX Games,Within 6 months,215,3
57.0,1,2019,11,1,1,1,1750.0,0.20857142857142857,CI Games,More than 12 months,36,1
82.0,0,2023,11,1,1,7,1205.14,0.30286937617206294,SEGA,Next 12 months,173,2
70.5,0,2023,10,1,1,7,569.86,0.640508194995262,Saber Interactive,Next 12 months,176,2
78.0,0,2019,4,1,1,3,1424.33,0.2562608384292966,Konami,As Good as Never,112,0
69.0,1,2022,12,2,1,5,510.2,0.715405723245786,Skybound Games,More than 12 months,183,1
77.7032967032967,0,2024,4,1,1,1,135.0,2.7037037037037037,Arc Games,Within 6 months,17,3
77.7032967032967,0,2022,10,1,1,3,108.67,3.358792675071317,Wargaming,More than 12 months,239,1
72.0,0,2021,9,1,1,2,1186.0,0.3077571669477234,Adult Swim Games,More than 12 months,9,1
77.7032967032967,0,2022,6,2,4,2,656.0,0.5564024390243902,Nexon,More than 12 months,140,1
80.0,1,2019,2,1,1,9,2235.33,0.16328685250052566,Electronic Arts,As Good as Never,59,0
76.0,0,2020,8,0,1,15,1055.47,0.34581750310288306,Unknown,More than 12 months,230,1
76.0,1,2021,9,1,1,2,763.5,0.4780615586116569,bilibili,More than 12 months,249,1
78.29,0,2008,11,1,1,9,2235.33,0.16328685250052566,Electronic Arts,As Good as Never,59,0
64.0,1,2020,7,1,1,1,1451.0,0.25155065472088217,Wales Interactive,More than 12 months,238,1
65.5,0,2022,8,1,1,3,794.0,0.45969773299748107,Wired Productions,More than 12 months,243,1
76.0,1,2022,5,1,1,1,779.0,0.4685494223363286,Those Awesome Guys,More than 12 months,221,1
65.0,1,2020,11,1,1,3,794.0,0.45969773299748107,Wired Productions,More than 12 months,243,1
87.0,1,2017,8,1,1,2,2352.5,0.15515409139213604,Failbetter Games,As Good as Never,64,0
61.0,0,2015,3,2,1,2,2218.0,0.16456266907123535,Merge Games,As Good as Never,123,0
77.7032967032967,0,2019,3,1,4,2,1154.5,0.31615417929839756,The Quantum Astrophysicists Guild,As Good as Never,216,0
70.5,0,2022,6,1,1,7,569.86,0.640508194995262,Saber Interactive,More than 12 months,176,1
77.7032967032967,0,2017,9,1,1,4,2171.75,0.1680672268907563,Codename Entertainment,As Good as Never,42,0
82.8,0,2022,12,1,1,9,1506.0,0.24236387782204513,2K Games,More than 12 months,1,1
78.0,1,2021,6,3,1,12,1971.5,0.18513821962972357,Deep Silver,More than 12 months,48,1
