game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Chilvalry 2,2021-06-08,"December 31, 2025",,78,"Deep Silver, Tripwire Interactive, Tripwire Presents",Torn Banner Studios,PC
Trine Classic Collection,2019-10-07,"December 30, 2025",,,"Frozenbyte, Modus Games",Frozenbyte,PC
Viewfinder,2023-07-17,"December 29, 2025",,,Thunderful Publishing,Sad Owl Studios,PC
Skald: Against the Black Priory,2021-08-02,"December 28, 2025",,,"Raw Fury, Scape-IT","Scape-IT, High North Studios AS",PC
Cassette Beasts,4/1/2023,"December 27, 2025",,83.0,Raw Fury,Bytten Studio,PC
We Were Here Together,2019-10-10,"December 26, 2025",,70,Total Mayhem Games,Total Mayhem Games,PC
Disco Elysium,2019-10-14,"December 25, 2025",,91,,ZA/UM,PC
The Callisto Protocol,12/1/2022,"December 24, 2025",,69.0,"Skybound Games, KRAFTON",Striking Distance Studios,PC
Bloodstained: Ritual of the Night,6/1/2019,"December 23, 2025",,84.0,505 Games,"505 Games, Armature Studio, Inti Creates, ArtPlay, Dico",PC
Paradise Killer,9/1/2020,"December 22, 2025",,81.0,Fellow Traveller,Kaizen Game Works,PC
Sorry We're Closed,2024-11-14,"December 21, 2025",,,Akupara Games,"à la mode, à la mode games",PC
Blood West,2023-12-05,"December 20, 2025",,,Hyperstrange,Hyperstrange,PC
Eternights,2023-09-12,"December 19, 2025",,,Studio Sai,Studio Sai,PC
Jotunnslayer: Hordes of Hel,2025-01-20,"December 18, 2025",,,Grindstone,"Games Farm, ARTillery",PC
Hogwarts Legacy,2/1/2023,"December 11, 2025",,84.0,"Warner Bros. Interactive, Wizarding World","Avalanche Software, Portkey Games",PC
The Darkside Detective,2017-07-26,"December 4, 2025",,73,"Spooky Doorway, Isometric Dreams",Spooky Doorway,PC
Jackbox Party Pack 4,2016-10-17,"December 4, 2025",,81,Jackbox Games,Jackbox Games,PC
Universe for Sale,,"November 27, 2025",,,"Akupara Games, Tmesis Studio",Tmesis Studio,PC
Zoeti and Godzilla Voxel Wars,2023-04-20,"November 20, 2025",,,Akupara Games,"Dusklight CO, Dusklight CO.",PC
Scourgebringer,2/6/2020,"November 13, 2025",,,"Plug In Digital, Dear Villagers","Plug In Digital, Dear Villagers, Flying Oak Games, E-Studio",PC
Songs of Silence,2024-06-04,"November 13, 2025",,,Chimera Entertainment,Chimera Entertainment,PC
Zero Hour,2008-11-15,"November 13, 2025",,,"RESETgame, Attrito, M7 Productions","RESETgame, M7 Productions, Attrito",PC
Felix The Reaper,10/1/2019,"November 6, 2025",,69.0,Daedalic Entertainment,"Daedalic Entertainment, Kong Orange",PC
Bendy and the Ink Machine,2017-02-09,"October 30, 2025",,68,"Rooster Teeth Games, Joey Drew Studios, TheMeatly Games","Joey Drew Studios, Rooster Teeth Productions, TheMeatly Games",PC
Five Nights at Freddy's: Into the Pit,2024-08-07,"October 30, 2025",,,Mega Cat Studios,Mega Cat Studios,PC
Fear the Spotlight,2024-10-22,"October 23, 2025",,,Cozy Game Pals,Cozy Game Pals,PC
Amnesia: The Bunker,6/1/2023,"October 16, 2025",,77.0,Frictional Games,Frictional Games,PC
Samorost 3,3/1/2016,"October 16, 2025",,80.0,Amanita Design,Amanita Design,PC
Gravity Circuit,2023-07-13,"October 9, 2025",,89,"Plug In Digital, PID Games","Domesticated Ants, Domesticated Ant Games",PC
Nightingale,,"October 2, 2025",,,,Inflexion Games,PC
Eastern Exorcist,7/1/2021,"September 25, 2025",,73.0,bilibili,Wildfire Games,PC
Jorel’s Brother and The Most Important Game of the Galaxy,2023-06-14,"September 25, 2025",,,Double Dash Studios,"Double Dash Studios, Copa Studio",PC
Project Winter,2/1/2019,"September 18, 2025",,75.0,Other Ocean Group,Other Ocean Interactive,PC
Samorost 2,2005-12-08,"September 18, 2025",,,Amanita Design,Amanita Design,PC
