metacritic_filled,has_metacritic,release_year,release_month,num_publishers,num_developers,games_count,avg_days_to_epic,publisher_speed_score,primary_publisher,sample_weight,days_to_epic,publisher_encoded
82.8,0,2022,3,2,1,9,1506.0,0.24236387782204513,2K Games,0.828,1161.0,1
88.0,1,2010,7,3,3,10,2989.5,0.12209399565144673,Microsoft Studios,0.88,5426.0,126
79.0,1,2022,2,3,1,2,1128.0,0.3235815602836879,Microids,0.79,1199.0,125
69.0,0,2021,7,1,2,5,1159.6,0.3147637116246982,Headup Games,0.69,1400.0,91
81.0,0,2021,10,1,1,3,2882.33,0.12663366096179132,Amanita Design,0.81,1295.0,13
75.0,1,2023,4,1,1,12,1971.5,0.18513821962972357,Deep Silver,0.75,755.0,48
80.0,1,2022,4,3,1,10,2989.5,0.12209399565144673,Microsoft Studios,0.8,1125.0,126
77.7107438016529,0,2023,8,1,1,1,636.0,0.5738993710691824,GrahamOfLegend,0.7771074380165289,636.0,87
80.0,1,2018,3,1,1,3,2882.33,0.12663366096179132,Amanita Design,0.8,2605.0,13
77.7107438016529,0,2017,5,1,1,1,2894.0,0.12612301313061505,Cabbibo,0.7771074380165289,2894.0,37
77.7107438016529,0,2013,8,2,1,2,4098.5,0.08905697206294987,Sekai Project,0.7771074380165289,4270.0,178
82.0,1,2012,4,1,1,3,2882.33,0.12663366096179132,Amanita Design,0.82,4747.0,13
77.7107438016529,0,2019,9,4,1,1,2045.0,0.17848410757946212,Arc System Works,0.7771074380165289,2045.0,18
77.7107438016529,0,2017,9,1,1,4,2171.75,0.1680672268907563,Codename Entertainment,0.7771074380165289,2772.0,42
75.29,0,1999,1,3,1,20,1636.6,0.22302334107295615,Team17 Digital,0.7529,9572.0,205
77.0,1,2019,9,2,2,4,2206.25,0.16543909348441926,PQube,0.77,2019.0,150
77.7107438016529,0,2019,10,1,1,1,1994.0,0.18304914744232698,Burgos Games,0.7771074380165289,1994.0,34
77.0,1,2017,8,2,3,4,2206.25,0.16543909348441926,PQube,0.77,2789.0,150
75.5,0,2021,11,1,1,4,1105.75,0.33009269726430024,Frontier Developments,0.755,1227.0,74
82.0,1,2019,4,0,1,14,1141.57,0.3197351016582426,Unknown,0.82,2158.0,229
75.0,1,2020,8,1,2,2,1265.0,0.2885375494071146,PlayStack,0.75,1668.0,156
82.0,1,2020,4,2,1,4,1498.25,0.24361755381278158,Humble Bundle,0.82,1771.0,95
75.0,1,2017,5,1,1,2,2264.0,0.16121908127208479,Borealys Games,0.75,2843.0,33
70.5,0,2021,9,1,1,7,569.86,0.640508194995262,Saber Interactive,0.705,1248.0,175
77.7107438016529,0,2021,8,1,1,1,1289.0,0.2831652443754849,Picogram,0.7771074380165289,1289.0,155
75.5,0,2024,7,1,1,4,1105.75,0.33009269726430024,Frontier Developments,0.755,205.0,74
78.29,0,2021,10,1,1,9,2235.33,0.16328685250052566,Electronic Arts,0.7829,1230.0,59
72.0,1,2020,6,1,1,4,2094.0,0.17430754536771728,E-Line Media,0.72,1701.0,57
77.7107438016529,0,2021,10,1,1,1,1199.0,0.3044203502919099,Vanimals,0.7771074380165289,1199.0,233
77.7107438016529,0,2021,8,2,2,5,714.0,0.511204481792717,Akupara Games,0.7771074380165289,1255.0,10
69.0,0,2022,7,2,1,5,510.2,0.715405723245786,Skybound Games,0.69,918.0,182
73.0,1,2016,6,5,3,2,2815.5,0.12963949564908542,Plug In Digital,0.73,3144.0,159
77.0,1,2019,6,1,1,20,1636.6,0.22302334107295615,Team17 Digital,0.77,2037.0,205
71.0,1,2018,2,1,2,2,1622.0,0.2250308261405672,Warhorse Studios,0.71,2514.0,239
79.0,1,2022,2,3,1,2,1128.0,0.3235815602836879,Microids,0.79,1057.0,125
76.0,0,2021,3,0,1,14,1141.57,0.3197351016582426,Unknown,0.76,1372.0,229
77.7107438016529,0,2020,7,1,1,2,1509.5,0.24180192116594898,Robot Entertainment,0.7771074380165289,1630.0,169
74.0,1,2021,9,1,1,2,1726.5,0.2114103677961193,Milestone,0.74,1187.0,130
83.11,0,2023,10,1,1,10,1408.7,0.25910413856747355,505 Games,0.8311,427.0,3
84.0,1,2019,8,1,2,10,1408.7,0.25910413856747355,505 Games,0.84,1947.0,3
75.29,0,2023,3,1,1,20,1636.6,0.22302334107295615,Team17 Digital,0.7529,636.0,205
77.7107438016529,0,2019,5,1,1,1,2049.0,0.17813567593948268,Auroch Digital,0.7771074380165289,2049.0,25
77.0,1,2018,5,2,2,4,1498.25,0.24361755381278158,Humble Bundle,0.77,2413.0,95
77.7107438016529,0,2015,2,2,1,1,3606.0,0.1012201885745979,Payload Studios,0.7771074380165289,3606.0,153
77.7107438016529,0,2023,9,1,1,5,714.0,0.511204481792717,Akupara Games,0.7771074380165289,456.0,10
77.7107438016529,0,2022,10,1,1,1,791.0,0.4614412136536031,poncle,0.7771074380165289,791.0,249
77.7107438016529,0,2023,10,1,1,1,415.0,0.8795180722891566,North Beach Games,0.7771074380165289,415.0,146
80.0,1,2022,4,3,1,10,2989.5,0.12209399565144673,Microsoft Studios,0.8,975.0,126
74.0,0,2021,9,1,1,3,1748.67,0.20873006341962747,Astragon Entertainment,0.74,1186.0,23
77.7107438016529,0,2022,9,1,1,1,793.0,0.46027742749054223,Blobfish,0.7771074380165289,793.0,31
75.0,1,2016,11,4,2,1,2935.0,0.12436115843270867,Alawar Entertainment,0.75,2935.0,11
76.0,0,2023,12,0,1,14,1141.57,0.3197351016582426,Unknown,0.76,321.0,229
78.0,1,2019,5,1,1,3,1424.33,0.2562608384292966,Konami,0.78,2009.0,112
77.7107438016529,0,2023,3,1,1,1,597.0,0.6113902847571189,Sweet Bandits Studios,0.7771074380165289,597.0,197
80.0,1,2019,2,1,1,9,2235.33,0.16328685250052566,Electronic Arts,0.8,2103.0,59
78.0,1,2022,3,1,1,19,3934.05,0.0927797053926615,Bethesda Softworks,0.78,952.0,29
78.5,0,2017,5,2,1,13,1162.0,0.31411359724612736,Daedalic Entertainment,0.785,2710.0,46
77.0,1,2020,4,1,2,20,1636.6,0.22302334107295615,Team17 Digital,0.77,1640.0,205
77.7107438016529,0,2022,2,1,3,5,714.0,0.511204481792717,Akupara Games,0.7771074380165289,981.0,10
69.0,0,2023,11,1,1,5,510.2,0.715405723245786,Skybound Games,0.69,338.0,182
77.7107438016529,0,2023,7,1,1,1,450.0,0.8111111111111111,GBROSSOFT,0.7771074380165289,450.0,78
77.7107438016529,0,2015,8,1,1,1,3354.0,0.10882528324388789,Eleon Game Studios,0.7771074380165289,3354.0,60
72.0,1,2022,7,1,1,3,703.67,0.5187090539599528,Armor Games Studios,0.72,798.0,20
72.0,0,2022,9,1,1,3,703.67,0.5187090539599528,Armor Games Studios,0.72,731.0,20
77.7107438016529,0,2021,11,2,1,1,1038.0,0.3516377649325626,Armor Games,0.7771074380165289,1038.0,19
79.0,1,2021,9,1,1,1,1099.0,0.3321201091901729,Something We Made,0.79,1099.0,187
78.0,0,2023,11,1,1,3,1424.33,0.2562608384292966,Konami,0.78,304.0,112
77.7107438016529,0,2024,9,1,2,1,2.0,182.5,The MIX Games,0.7771074380165289,2.0,214
57.0,1,2019,11,1,1,1,1750.0,0.20857142857142857,CI Games,0.57,1750.0,36
83.4,0,2023,11,1,1,6,1470.17,0.24827060816096094,SEGA,0.8340000000000001,304.0,172
70.5,0,2023,10,1,1,7,569.86,0.640508194995262,Saber Interactive,0.705,324.0,175
78.0,0,2019,4,1,1,3,1424.33,0.2562608384292966,Konami,0.78,1960.0,112
69.0,1,2022,12,2,1,5,510.2,0.715405723245786,Skybound Games,0.69,630.0,182
77.7107438016529,0,2024,4,1,1,1,135.0,2.7037037037037037,Arc Games,0.7771074380165289,135.0,17
77.7107438016529,0,2022,10,1,1,2,422.5,0.8639053254437871,Wargaming,0.7771074380165289,678.0,238
72.0,0,2021,9,1,1,2,1186.0,0.3077571669477234,Adult Swim Games,0.72,1050.0,9
77.7107438016529,0,2022,6,2,4,2,656.0,0.5564024390243902,Nexon,0.7771074380165289,772.0,139
80.0,1,2019,2,1,1,9,2235.33,0.16328685250052566,Electronic Arts,0.8,2012.0,59
76.0,0,2020,8,0,1,14,1141.57,0.3197351016582426,Unknown,0.76,1440.0,229
76.0,1,2021,9,1,1,2,763.5,0.4780615586116569,bilibili,0.76,1052.0,248
78.29,0,2008,11,1,1,9,2235.33,0.16328685250052566,Electronic Arts,0.7829,5728.0,59
64.0,1,2020,7,1,1,1,1451.0,0.25155065472088217,Wales Interactive,0.64,1451.0,237
65.5,0,2022,8,1,1,3,794.0,0.45969773299748107,Wired Productions,0.655,707.0,242
76.0,1,2022,5,1,1,1,779.0,0.4685494223363286,Those Awesome Guys,0.76,779.0,220
65.0,1,2020,11,1,1,3,794.0,0.45969773299748107,Wired Productions,0.65,1332.0,242
87.0,1,2017,8,1,1,2,2352.5,0.15515409139213604,Failbetter Games,0.87,2493.0,64
61.0,0,2015,3,2,1,2,2218.0,0.16456266907123535,Merge Games,0.61,3387.0,122
77.7107438016529,0,2019,3,1,4,2,1154.5,0.31615417929839756,The Quantum Astrophysicists Guild,0.7771074380165289,1922.0,215
70.5,0,2022,6,1,1,7,569.86,0.640508194995262,Saber Interactive,0.705,728.0,175
77.7107438016529,0,2017,9,1,1,4,2171.75,0.1680672268907563,Codename Entertainment,0.7771074380165289,2471.0,42
82.8,0,2022,12,1,1,9,1506.0,0.24236387782204513,2K Games,0.828,552.0,1
78.0,1,2021,6,3,1,12,1971.5,0.18513821962972357,Deep Silver,0.78,1087.0,48
77.7107438016529,0,2021,11,1,1,1,913.0,0.39978094194961666,Giants Software,0.7771074380165289,913.0,84
86.0,1,2014,11,1,2,9,2235.33,0.16328685250052566,Electronic Arts,0.86,3467.0,59
77.7107438016529,0,2013,8,2,1,2,4098.5,0.08905697206294987,Sekai Project,0.7771074380165289,3927.0,178
70.5,0,2022,9,1,1,7,569.86,0.640508194995262,Saber Interactive,0.705,611.0,175
77.7107438016529,0,2020,7,1,1,2,1509.5,0.24180192116594898,Robot Entertainment,0.7771074380165289,1389.0,169
77.0,1,2019,9,2,2,4,2206.25,0.16543909348441926,PQube,0.77,1683.0,150
78.0,1,2014,12,2,2,3,2199.33,0.16595963316100812,Serenity Forge,0.78,3420.0,179
66.0,1,2021,9,2,1,5,1159.6,0.3147637116246982,Headup Games,0.66,938.0,91
77.7107438016529,0,2023,5,1,1,1,328.0,1.1128048780487805,BlankMediaGames,0.7771074380165289,328.0,30
76.0,1,2021,8,1,1,1,961.0,0.3798126951092612,Mighty Yell,0.76,961.0,129
77.7107438016529,0,2020,10,1,3,3,965.67,0.3779759130966065,All in! Games,0.7771074380165289,1262.0,12
70.0,1,2014,2,1,3,10,1992.0,0.18323293172690763,Square Enix,0.7,3691.0,191
88.0,0,2023,3,1,2,3,1166.0,0.3130360205831904,Private Division,0.88,394.0,162
72.0,0,2022,8,1,1,3,703.67,0.5187090539599528,Armor Games Studios,0.72,582.0,20
69.0,0,2023,11,1,1,5,510.2,0.715405723245786,Skybound Games,0.69,128.0,182
77.7107438016529,0,2022,8,1,1,1,568.0,0.6426056338028169,Expansive Worlds,0.7771074380165289,568.0,62
74.0,1,2013,2,2,3,2,3283.0,0.11117879987816022,Midnight City,0.74,4039.0,128
83.0,1,2016,8,2,1,10,1992.0,0.18323293172690763,Square Enix,0.83,2761.0,191
77.7107438016529,0,2024,3,1,1,1,0.0,0.5,Wild Rooster,0.7771074380165289,0.0,241
70.0,1,2021,5,0,0,14,1141.57,0.3197351016582426,Unknown,0.7,1016.0,229
68.0,1,2020,12,2,3,1,1156.0,0.3157439446366782,Thunderful Publishing,0.68,1156.0,222
70.5,0,2022,10,1,2,7,569.86,0.640508194995262,Saber Interactive,0.705,499.0,175
77.7107438016529,0,2016,8,3,1,1,2717.0,0.13433934486566065,X.D. Network,0.7771074380165289,2717.0,243
68.5,0,2021,6,1,1,3,2199.33,0.16595963316100812,Serenity Forge,0.685,953.0,179
77.7107438016529,0,2021,9,2,2,1,857.0,0.4259043173862311,Snapbreak Games,0.7771074380165289,857.0,184
77.7107438016529,0,2015,6,1,1,1,3132.0,0.1165389527458493,Zachtronics,0.7771074380165289,3132.0,244
77.7107438016529,0,2014,2,2,1,1,3632.0,0.10049559471365639,Mokuzai Studio,0.7771074380165289,3632.0,134
77.7107438016529,0,2022,12,2,2,2,1154.5,0.31615417929839756,The Quantum Astrophysicists Guild,0.7771074380165289,387.0,215
81.29,0,2021,10,1,1,10,1992.0,0.18323293172690763,Square Enix,0.8129000000000001,800.0,191
82.0,1,2019,5,1,2,9,1143.89,0.3190866254622385,Focus Home Interactive,0.82,1696.0,70
77.7107438016529,0,2023,6,3,2,1,210.0,1.7380952380952381,Erabit,0.7771074380165289,210.0,61
69.0,0,2022,7,2,1,5,510.2,0.715405723245786,Skybound Games,0.69,537.0,182
77.7107438016529,0,2020,10,1,3,3,965.67,0.3779759130966065,All in! Games,0.7771074380165289,1160.0,12
81.0,1,2006,8,2,1,12,1971.5,0.18513821962972357,Deep Silver,0.81,6332.0,48
76.0,0,2023,12,0,1,14,1141.57,0.3197351016582426,Unknown,0.76,0.0,229
77.0,1,2017,8,2,3,4,2206.25,0.16543909348441926,PQube,0.77,2334.0,150
76.0,0,2020,7,0,1,14,1141.57,0.3197351016582426,Unknown,0.76,1257.0,229
78.0,1,2015,10,2,2,4,2431.25,0.15012853470437018,Tomorrow,0.78,2995.0,223
88.0,0,2023,3,1,2,3,1166.0,0.3130360205831904,Private Division,0.88,293.0,162
78.0,1,2022,3,1,1,19,3934.05,0.0927797053926615,Bethesda Softworks,0.78,640.0,29
91.0,1,2009,10,1,1,19,3934.05,0.0927797053926615,Bethesda Softworks,0.91,5184.0,29
78.0,1,2020,9,1,1,1,1185.0,0.3080168776371308,Funselektor Labs,0.78,1185.0,77
77.7107438016529,0,2020,6,2,2,1,1276.0,0.28605015673981193,Games by Malcs,0.7771074380165289,1276.0,82
77.7107438016529,0,2022,6,2,4,2,656.0,0.5564024390243902,Nexon,0.7771074380165289,540.0,139
84.0,1,2018,9,1,1,1,1926.0,0.18951194184839043,Activision Blizzard,0.84,1926.0,8
77.7107438016529,0,2022,8,1,1,1,489.0,0.7464212678936606,Passion Republic Games,0.7771074380165289,489.0,152
77.7107438016529,0,2021,2,1,1,1,1008.0,0.3621031746031746,Komi Games,0.7771074380165289,1008.0,111
77.7107438016529,0,2021,2,1,2,1,1015.0,0.35960591133004927,Tanuki Creative Studio,0.7771074380165289,1015.0,202
77.7107438016529,0,2023,2,1,1,1,294.0,1.2414965986394557,Frontier Foundry,0.7771074380165289,294.0,75
82.33,0,2021,11,1,2,9,1811.0,0.20154610712313636,Paradox Interactive,0.8233,731.0,151
77.7107438016529,0,2016,9,1,2,1,2632.0,0.138677811550152,Snowcastle Games,0.7771074380165289,2632.0,185
78.0,0,2022,3,2,1,2,672.5,0.5427509293680297,HypeTrain Digital,0.78,608.0,97
74.0,1,2021,4,1,2,1,924.0,0.39502164502164505,Graffiti Games,0.74,924.0,86
82.0,1,2017,10,1,2,19,3934.05,0.0927797053926615,Bethesda Softworks,0.82,2206.0,29
77.7107438016529,0,2021,10,1,1,2,777.5,0.4694533762057878,Hatinh Interactive,0.7771074380165289,735.0,90
68.0,1,2014,10,1,2,19,3934.05,0.0927797053926615,Bethesda Softworks,0.68,3294.0,29
77.7107438016529,0,2022,5,1,1,1,518.0,0.7046332046332047,Secret Mode,0.7771074380165289,518.0,177
77.7107438016529,0,2014,5,4,3,1,3431.0,0.10638297872340426,Kiss,0.7771074380165289,3431.0,108
78.5,0,2022,4,1,1,13,1162.0,0.31411359724612736,Daedalic Entertainment,0.785,533.0,46
73.5,0,2022,9,1,1,3,254.33,1.4351433177367987,Modus Games,0.735,374.0,133
77.7107438016529,0,2022,2,1,1,1,597.0,0.6113902847571189,Moonlit,0.7771074380165289,597.0,137
77.7107438016529,0,2022,12,1,1,1,287.0,1.2717770034843205,Bedtime Digital Games,0.7771074380165289,287.0,28
77.7107438016529,0,2021,6,1,1,2,777.5,0.4694533762057878,Hatinh Interactive,0.7771074380165289,820.0,90
68.0,1,2017,2,3,3,1,2393.0,0.1525282072712077,Games Operators,0.68,2393.0,81
77.7107438016529,0,2019,9,1,1,1,1454.0,0.25103163686382396,Free Range Games,0.7771074380165289,1454.0,71
83.0,1,2010,3,1,2,4,2920.5,0.12497859955487074,Nicalis,0.83,4910.0,140
79.0,1,2016,1,1,2,1,2774.0,0.13157894736842105,Gearbox Software,0.79,2774.0,83
76.0,0,2019,9,0,0,14,1141.57,0.3197351016582426,Unknown,0.76,1435.0,229
78.0,1,2021,8,2,1,2,672.5,0.5427509293680297,HypeTrain Digital,0.78,737.0,97
77.0,1,2016,10,2,2,1,2478.0,0.1472962066182405,Fellow Traveller,0.77,2478.0,65
87.0,1,2013,8,1,2,9,1811.0,0.20154610712313636,Paradox Interactive,0.87,3650.0,151
83.0,1,2021,3,1,1,13,812.15,0.4494243674198116,Devolver Digital,0.83,882.0,50
77.7107438016529,0,2018,6,2,2,2,1760.5,0.20732746378869638,Ninja Kiwi,0.7771074380165289,1876.0,142
74.0,0,2021,9,2,1,3,1178.0,0.30984719864176574,Digerati,0.74,679.0,51
86.0,1,2015,2,2,2,7,1816.71,0.20091263878109328,Aspyr,0.86,3075.0,22
71.0,1,2014,4,1,2,19,3934.05,0.0927797053926615,Bethesda Softworks,0.71,3394.0,29
77.7107438016529,0,2020,3,1,1,2,1261.0,0.2894528152260111,Irregular,0.7771074380165289,1232.0,102
77.7107438016529,0,2019,4,1,3,1,1551.0,0.23533204384268214,Flazm,0.7771074380165289,1551.0,68
77.7107438016529,0,2021,8,2,2,5,714.0,0.511204481792717,Akupara Games,0.7771074380165289,703.0,10
77.7107438016529,0,2020,9,1,2,1,1015.0,0.35960591133004927,Dear Villagers,0.7771074380165289,1015.0,47
74.0,1,2017,2,2,1,3,1748.67,0.20873006341962747,Astragon Entertainment,0.74,2317.0,23
77.7107438016529,0,2017,9,1,1,4,2171.75,0.1680672268907563,Codename Entertainment,0.7771074380165289,2114.0,42
85.0,1,2018,8,1,1,2,2515.5,0.1451003776585172,DrinkBox Studios,0.85,1760.0,56
86.0,1,2014,7,1,2,2,2515.5,0.1451003776585172,DrinkBox Studios,0.86,3271.0,56
79.0,1,2013,8,2,2,10,1408.7,0.25910413856747355,505 Games,0.79,3586.0,3
77.7107438016529,0,2022,3,1,1,1,427.0,0.8548009367681499,Mellowsoft,0.7771074380165289,427.0,121
79.82,0,2012,2,1,1,19,3934.05,0.0927797053926615,Bethesda Softworks,0.7981999999999999,4125.0,29
84.0,1,2019,11,2,1,2,1215.0,0.3004115226337449,Sony Interactive Entertainment,0.84,1287.0,189
67.0,1,2014,9,1,2,9,2235.33,0.16328685250052566,Electronic Arts,0.67,3173.0,59
77.7107438016529,0,2000,1,4,2,1,8524.0,0.04282027217268888,Tate Multimedia,0.7771074380165289,8524.0,203
78.0,1,2018,5,2,1,3,1542.33,0.23665493117555908,AQUIRIS,0.78,1815.0,6
76.0,0,2016,7,0,1,14,1141.57,0.3197351016582426,Unknown,0.76,2474.0,229
66.0,1,2021,2,1,1,1,791.0,0.4614412136536031,RedRuins Softworks,0.66,791.0,166
70.0,1,2014,11,1,1,4,2094.0,0.17430754536771728,E-Line Media,0.7,3075.0,57
72.0,1,2020,6,1,1,4,2094.0,0.17430754536771728,E-Line Media,0.72,1043.0,57
77.7107438016529,0,2022,10,1,1,1,175.0,2.085714285714286,Systemic Reaction,0.7771074380165289,175.0,198
81.0,1,2019,4,1,1,1,1445.0,0.25259515570934254,Triternion,0.81,1445.0,226
77.7107438016529,0,2020,6,1,1,1,1034.0,0.3529980657640232,Prismatika,0.7771074380165289,1034.0,161
87.0,1,2015,1,2,1,2,1741.0,0.2096496266513498,Techland Publishing,0.87,2992.0,206
77.7107438016529,0,2021,11,1,1,1,513.0,0.7115009746588693,LEAP Game Studios,0.7771074380165289,513.0,115
84.0,1,2012,12,2,1,1,3766.0,0.0969198088157196,Meridian4,0.84,3766.0,123
77.7107438016529,0,2022,10,1,1,2,422.5,0.8639053254437871,Wargaming,0.7771074380165289,167.0,238
81.0,1,2017,6,1,1,4,1994.75,0.18298032334879055,Ripstone,0.81,2102.0,168
71.0,1,2018,7,1,1,1,1709.0,0.21357519016968987,Slitherine,0.71,1709.0,183
77.0,1,2020,12,1,2,8,1109.0,0.3291253381424707,Raw Fury,0.77,821.0,164
62.0,1,2018,2,1,1,2,1194.5,0.3055671829217246,Kasedo Games,0.62,1847.0,107
83.0,1,2016,5,1,1,1,2473.0,0.1475940153659523,Misfits Attic,0.83,2473.0,132
78.5,0,2021,4,1,1,13,1162.0,0.31411359724612736,Daedalic Entertainment,0.785,658.0,46
76.0,0,2018,4,0,1,14,1141.57,0.3197351016582426,Unknown,0.76,1752.0,229
83.0,1,2017,9,1,2,19,3934.05,0.0927797053926615,Bethesda Softworks,0.83,1967.0,29
62.0,0,2021,8,1,2,2,1194.5,0.3055671829217246,Kasedo Games,0.62,542.0,107
77.7107438016529,0,2022,10,1,2,1,98.0,3.7244897959183674,A List Games,0.7771074380165289,98.0,5
78.0,1,2021,3,1,1,1,680.0,0.5367647058823529,Mischief,0.78,680.0,131
74.0,1,2016,3,2,2,2,2815.5,0.12963949564908542,Plug In Digital,0.74,2487.0,159
77.7107438016529,0,2014,9,1,1,1,3033.0,0.120342894823607,Zen Studios,0.7771074380165289,3033.0,245
77.7107438016529,0,2021,11,1,1,1,436.0,0.8371559633027523,TBA,0.7771074380165289,436.0,199
77.7107438016529,0,2022,12,1,1,3,1095.67,0.3331295006708224,Hi-Rez Studios,0.7771074380165289,37.0,92
78.5,0,2021,12,1,1,13,1162.0,0.31411359724612736,Daedalic Entertainment,0.785,395.0,46
88.0,1,2015,4,2,1,3,1166.0,0.3130360205831904,Private Division,0.88,2811.0,162
53.0,1,2021,3,1,1,1,653.0,0.55895865237366,TheGameWall Studios,0.53,653.0,216
78.0,1,2015,8,1,1,19,3934.05,0.0927797053926615,Bethesda Softworks,0.78,2683.0,29
75.0,1,2020,8,1,2,2,1265.0,0.2885375494071146,PlayStack,0.75,862.0,156
74.0,0,2021,9,2,1,3,1178.0,0.30984719864176574,Digerati,0.74,467.0,51
76.0,1,2021,9,1,1,2,763.5,0.4780615586116569,bilibili,0.76,475.0,248
84.0,1,2019,11,2,1,2,1215.0,0.3004115226337449,Sony Interactive Entertainment,0.84,1143.0,189
76.0,1,2014,8,3,3,12,1971.5,0.18513821962972357,Deep Silver,0.76,3043.0,48
73.0,1,2021,9,2,1,1,472.0,0.7733050847457626,Prime Matter,0.73,472.0,160
82.0,1,2001,3,2,1,19,3934.05,0.0927797053926615,Bethesda Softworks,0.82,7966.0,29
86.0,1,1998,9,2,1,19,3934.05,0.0927797053926615,Bethesda Softworks,0.86,8849.0,29
79.82,0,1997,9,3,2,19,3934.05,0.0927797053926615,Bethesda Softworks,0.7981999999999999,9214.0,29
78.0,1,2019,12,1,1,1,1098.0,0.3324225865209472,LEGO® Games,0.78,1098.0,116
81.0,1,2014,5,1,2,19,3934.05,0.0927797053926615,Bethesda Softworks,0.81,3137.0,29
82.0,1,2020,4,2,1,4,1498.25,0.24361755381278158,Humble Bundle,0.82,963.0,95
74.0,1,2021,9,1,1,8,1109.0,0.3291253381424707,Raw Fury,0.74,451.0,164
68.0,1,2014,10,2,2,2,2601.0,0.14033064206074586,Majesco Entertainment,0.68,2994.0,118
78.0,1,2018,5,2,1,3,1542.33,0.23665493117555908,AQUIRIS,0.78,1676.0,6
77.7107438016529,0,2018,6,2,2,2,1760.5,0.20732746378869638,Ninja Kiwi,0.7771074380165289,1645.0,142
