primary_publisher,avg_days_to_epic,median_days_to_epic,std_days_to_epic,games_count,avg_metacritic,metacritic_count,metacritic_coverage
11 bit studios,1091.0,1136.0,646.68,3,83.33,3,100.0
2K Games,1506.0,1309.0,892.39,9,82.8,5,55.56
4EversGames,917.0,917.0,,1,,0,0.0
505 Games,1408.7,990.5,1151.64,10,83.11,9,90.0
8-4,3206.0,3206.0,,1,85.0,1,100.0
A List Games,98.0,98.0,,1,,0,0.0
AQUIRIS,1542.33,1676.0,358.69,3,78.0,3,100.0
Abylight,1300.0,1300.0,94.75,2,84.0,2,100.0
Activision Blizzard,1926.0,1926.0,,1,84.0,1,100.0
Adult Swim Games,1186.0,1186.0,192.33,2,72.0,1,50.0
Akupara Games,714.0,703.0,424.61,5,,0,0.0
Alawar Entertainment,2935.0,2935.0,,1,75.0,1,100.0
All in! Games,965.67,1160.0,427.98,3,,0,0.0
Amanita Design,2882.33,2605.0,1742.63,3,81.0,2,66.67
Analgesic Productions,213.0,213.0,,1,,0,0.0
Annapurna Interactive,1525.5,1525.5,1269.26,2,87.5,2,100.0
Another Indie,506.0,506.0,,1,,0,0.0
Arc Games,135.0,135.0,,1,,0,0.0
Arc System Works,2045.0,2045.0,,1,,0,0.0
Armor Games,1038.0,1038.0,,1,,0,0.0
Armor Games Studios,703.67,731.0,110.56,3,72.0,1,33.33
Asmodee Digital,1655.0,1230.0,1285.78,4,72.5,2,50.0
Aspyr,1816.71,924.0,1998.08,7,74.4,5,71.43
Astragon Entertainment,1748.67,1743.0,565.52,3,74.0,2,66.67
Atari,141.5,141.5,20.51,2,,0,0.0
Auroch Digital,2049.0,2049.0,,1,,0,0.0
Batterystaple Games,2074.0,2074.0,,1,,0,0.0
Beam Team,2166.0,2166.0,,1,65.0,1,100.0
Bedtime Digital Games,287.0,287.0,,1,,0,0.0
Bethesda Softworks,3934.05,3137.0,2884.66,19,79.82,17,89.47
BlankMediaGames,328.0,328.0,,1,,0,0.0
Blobfish,793.0,793.0,,1,,0,0.0
Bloober Team,469.5,469.5,61.52,2,66.5,2,100.0
Borealys Games,2264.0,2264.0,818.83,2,75.0,2,100.0
Burgos Games,1994.0,1994.0,,1,,0,0.0
Butterscotch Shenanigans,1562.0,1562.0,,1,78.0,1,100.0
CI Games,1750.0,1750.0,,1,57.0,1,100.0
Cabbibo,2894.0,2894.0,,1,,0,0.0
Capybara Games,3416.0,3416.0,,1,,0,0.0
Choice Provisions,2076.0,2076.0,,1,61.0,1,100.0
Chucklefish,434.0,434.0,,1,68.0,1,100.0
Cococucumber,1047.0,1047.0,,1,,0,0.0
Codename Entertainment,2171.75,2292.5,622.29,4,,0,0.0
Crunching Koalas,1883.0,1883.0,,1,78.0,1,100.0
Curve Digital,770.8,735.0,453.1,5,78.33,3,60.0
Cyan Worlds,1787.0,1787.0,,1,76.0,1,100.0
Daedalic Entertainment,1162.0,974.0,836.17,13,78.5,6,46.15
Dear Villagers,1015.0,1015.0,,1,,0,0.0
Deep Silver,1971.5,1522.0,1715.03,12,75.83,12,100.0
Defiant Development,1263.0,1263.0,,1,81.0,1,100.0
Devolver Digital,812.15,772.0,527.3,13,80.77,13,100.0
Digerati,1178.0,679.0,1053.24,3,74.0,1,33.33
DotEmu,1913.0,1913.0,,1,,0,0.0
Double Damage Games,1732.0,1732.0,554.37,2,72.0,2,100.0
Double Fine Productions,873.5,873.5,64.35,2,76.0,2,100.0
Dovetail Games - TSW,343.0,343.0,,1,,0,0.0
DrinkBox Studios,2515.5,2515.5,1068.44,2,85.5,2,100.0
E-Line Media,2094.0,2129.0,901.07,4,71.0,4,100.0
EHTechnology,1866.0,1866.0,,1,,0,0.0
Electronic Arts,2235.33,2012.0,1661.14,9,78.29,7,77.78
Eleon Game Studios,3354.0,3354.0,,1,,0,0.0
Erabit,210.0,210.0,,1,,0,0.0
Expansive Worlds,568.0,568.0,,1,,0,0.0
FLARB,839.0,839.0,,1,,0,0.0
Failbetter Games,2352.5,2352.5,198.7,2,84.0,2,100.0
Fellow Traveller,2478.0,2478.0,,1,77.0,1,100.0
Feral Interactive,2811.67,2648.0,1128.44,3,76.67,3,100.0
Finji,1221.5,1221.5,259.51,2,88.0,1,50.0
Flazm,1551.0,1551.0,,1,,0,0.0
Flight School Studio,567.0,567.0,,1,,0,0.0
Focus Home Interactive,1143.89,815.0,782.04,9,74.38,8,88.89
Free Range Games,1454.0,1454.0,,1,,0,0.0
